Védaquais;ve.da.kɛ
vélivolâtes;ve.li.vɔ.lat
vélivolèrent;ve.li.vɔ.lɛʁ
vélivolé;ve.li.vɔ.le
vélivola;ve.li.vɔ.la
vélivolai;ve.li.vɔ.le
vélivolaient;ve.li.vɔ.lɛ
vélivolais;ve.li.vɔ.lɛ
vélivolait;ve.li.vɔ.lɛ
vélivolant;ve.li.vɔ.lɑ̃
vélivolas;ve.li.vɔ.la
vélivolasse;ve.li.vɔ.las
vélivolassent;ve.li.vɔ.las
vélivolasses;ve.li.vɔ.las
vélivolassiez;ve.li.vɔ.la.sje
vélivolassions;ve.li.vɔ.la.sjɔ̃
vélivole;ve.li.vɔl
vélivolent;ve.li.vɔl
vélivoler;ve.li.vɔ.le
vélivolera;ve.li.vɔ.lə.ʁa
vélivolerai;ve.li.vɔ.lə.ʁe
vélivoleraient;ve.li.vɔ.lə.ʁɛ
vélivolerais;ve.li.vɔ.lə.ʁɛ
vélivolerait;ve.li.vɔ.lə.ʁɛ
vélivoleras;ve.li.vɔ.lə.ʁa
vélivolerez;ve.li.vɔ.lə.ʁe
vélivoleriez;ve.li.vɔ.lə.ʁje
vélivolerions;ve.li.vɔ.lə.ʁjɔ̃
vélivolerons;ve.li.vɔ.lə.ʁɔ̃
vélivoleront;ve.li.vɔ.lə.ʁɔ̃
vélivoles;ve.li.vɔl
vélivolez;ve.li.vɔ.le
vélivoliez;ve.li.vɔ.lje
vélivolions;ve.li.vɔ.ljɔ̃
vélivolons;ve.li.vɔ.lɔ̃
vélo;ve.lo
vélocar;ve.lɔ.kaʁ
vélocars;ve.lɔ.kaʁ
vélocation;ve.lo.ka.sjɔ̃
véloce;ve.lɔs
véloces;ve.lɔs
vélocette;ve.lɔ.sɛt
vélocifères;vɛʁ.de
vélocimètre;velosimɛtʁ
vélocimètres;velosimɛtʁ
vélocimétrie;velosimetʁi
vélocimétries;velosimetʁi
vélocipède;ve.lɔ.si.pɛd
vélocipèdent;ve.lɔ.si.pɛd
vélocipèdera;ve.lɔ.si.pɛ.də.ʁa
vélocipèderai;ve.lɔ.si.pɛ.də.ʁe
vélocipèderaient;ve.lɔ.si.pɛ.də.ʁɛ
vélocipèderais;ve.lɔ.si.pɛ.də.ʁɛ
vélocipèderait;ve.lɔ.si.pɛ.də.ʁɛ
vélocipèderas;ve.lɔ.si.pɛ.də.ʁa
vélocipèderez;ve.lɔ.si.pɛ.də.ʁe
vélocipèderiez;ve.lɔ.si.pɛ.də.ʁje
vélocipèderions;ve.lɔ.si.pɛ.də.ʁjɔ̃
vélocipèderons;ve.lɔ.si.pɛ.də.ʁɔ̃
vélocipèderont;ve.lɔ.si.pɛ.də.ʁɔ̃
vélocipèdes;ve.lɔ.si.pɛd
vélocipédâmes;ve.lɔ.si.pe.dam
vélocipédât;ve.lɔ.si.pe.da
vélocipédâtes;ve.lɔ.si.pe.dat
vélocipédèrent;ve.lɔ.si.pe.dɛʁ
vélocipédé;ve.lɔ.si.pe.de
vélocipéda;ve.lɔ.si.pe.da
vélocipédai;ve.lɔ.si.pe.de
vélocipédaient;ve.lɔ.si.pe.dɛ
vélocipédais;ve.lɔ.si.pe.dɛ
vélocipédait;ve.lɔ.si.pe.dɛ
vélocipédant;ve.lɔ.si.pe.dɑ̃
vélocipédas;ve.lɔ.si.pe.da
vélocipédasse;ve.lɔ.si.pe.das
vélocipédassent;ve.lɔ.si.pe.das
vélocipédasses;ve.lɔ.si.pe.das
vélocipédassiez;ve.lɔ.si.pe.da.sje
vélocipédassions;ve.lɔ.si.pe.da.sjɔ̃
vélocipéder;ve.lɔ.si.pe.de
vélocipédera;ve.lɔ.si.pɛ.də.ʁa
vélocipéderai;ve.lɔ.si.pɛ.də.ʁe
vélocipéderaient;ve.lɔ.si.pɛ.də.ʁɛ
vélocipéderais;ve.lɔ.si.pɛ.də.ʁɛ
vélocipéderait;ve.lɔ.si.pɛ.də.ʁɛ
vélocipéderas;ve.lɔ.si.pɛ.də.ʁa
vélocipéderez;ve.lɔ.si.pɛ.də.ʁe
vélocipéderiez;ve.lɔ.si.pɛ.də.ʁje
vélocipéderions;ve.lɔ.si.pɛ.də.ʁjɔ̃
vélocipéderons;ve.lɔ.si.pɛ.də.ʁɔ̃
vélocipéderont;ve.lɔ.si.pɛ.də.ʁɔ̃
vélocipédez;ve.lɔ.si.pe.de
vélocipédie;ve.lo.si.pe.di
vélocipédiez;ve.lɔ.si.pe.dje
vélocipédions;ve.lɔ.si.pe.djɔ̃
vélocipédiques;ve.lɔ.si.pe.dik
vélocipédiste;ve.lɔ.si.pe.dist
vélocipédistes;ve.lɔ.si.pe.dist
vélocipédons;ve.lɔ.si.pe.dɔ̃
vélociphobie;ve.lɔ.si.fɔ.bi
vélociphobies;ve.lɔ.si.fɔ.bi
vélociste;ve.lɔ.sist
vélocistes;ve.lɔ.sist
vélocité;ve.lɔ.si.te
vélocoptère;ve.lo.kɔp.tɛʁ
vélodrome;ve.lɔd.ʁɔm
vélodromes;ve.lɔd.ʁɔm
vélomobile;ve.lɔ.mɔ.bil
vélomobiles;ve.lɔ.mɔ.bil
vélomobiliste;ve.lɔ.mɔ.bi.list
vélomobilistes;ve.lɔ.mɔ.bi.list
vélomoteur;ve.lo.mɔ.tœʁ
vélomoteurs;ve.lɔ.mɔ.tœʁ
vélophile;ve.lo.fil
vélophilie;ve.lo.fi.li
vélophilies;ve.lo.fi.li
vélorail;ve.lɔ.ʁaj
vélorails;ve.lɔ.ʁaj
vélorizontal;və.ni.mo.zi.te
véloroute;ve.lo.ʁut
véloroutes;vɛl
vélos;ve.lo
véloski;ve.lɔ.ski
véloskis;ve.lɔ.ski
véloveur;ve.lɔ.vœʁ
véloveurs;ve.lɔ.vœʁ
véloveuse;ve.lɔ.vøz
véloveuses;ve.lɔ.vøz
vélum;ve.lɔm
vélums;ve.lɔm
vélux;ve.lyks
vénèr;ve.nɛʁ
vénère;ve.nɛʁ
vénèrent;ve.nɛʁ
vénèrera;ve.nɛ.ʁə.ʁa
vénèrerai;ve.nɛ.ʁə.ʁe
vénèreraient;ve.nɛ.ʁə.ʁɛ
vénèrerais;ve.nɛ.ʁə.ʁɛ
vénèrerait;ve.nɛ.ʁə.ʁɛ
vénèreras;ve.nɛ.ʁə.ʁa
vénèrerez;ve.nɛ.ʁə.ʁe
vénèreriez;ve.nɛ.ʁə.ʁje
vénèrerions;ve.nɛ.ʁə.ʁjɔ̃
vénèrerons;ve.nɛ.ʁə.ʁɔ̃
vénèreront;ve.nɛ.ʁə.ʁɔ̃
vénères;ve.nɛʁ
vénète;ve.nɛt
vénètes;vɛl
vénéfice;vɑ̃.ti.la.tœʁ
vénéfique;ve.ne.fik
vénéfiques;vɛl
vénénifique;ve.ʁatʁ
vénénipare;ve.ʁatʁ
vénénosité;ve.ne.no.zi.te
vénérâmes;ve.ne.ʁam
vénérât;ve.ne.ʁas
vénérâtes;ve.ne.ʁam
vénérèrent;ve.ne.ʁɛʁ
vénéré;ve.ne.ʁe
vénérée;ve.ne.ʁe
vénérées;ve.ne.ʁe
vénéréologique;ve.ne.ʁeɔ.lɔ.ʒik
vénéréologiste;ve.ne.ʁe.ɔ.lɔ.ʒist
vénéréologue;ve.ne.ʁe.ɔ.lɔɡ
vénéréologues;ve.ne.ʁe.ɔ.lɔɡ
vénérés;ve.ne.ʁe
vénéra;ve.ne.ʁa
vénérable;ve.ne.ʁabl
vénérablement;ve.ne.ʁab.lə.mɑ̃
vénérables;ve.ne.ʁabl
vénérai;ve.ne.ʁe
vénéraient;ve.ne.ʁɛ
vénérais;ve.ne.ʁɛ
vénérait;ve.ne.ʁɛ
vénérant;ve.ne.ʁɑ̃
vénéras;ve.ne.ʁa
vénérasse;ve.ne.ʁas
vénérassent;ve.ne.ʁas
vénérasses;ve.ne.ʁas
vénérassiez;ve.ne.ʁa.sje
vénérassions;ve.ne.ʁa.sjɔ̃
vénérateur;ve.ne.ʁa.tœʁ
vénération;ve.ne.ʁa.sjɔ̃
vénérations;ve.ne.ʁa.sjɔ̃
vénérer;ve.ne.ʁe
vénérera;ve.nɛ.ʁə.ʁa
vénérerai;ve.nɛ.ʁə.ʁe
vénéreraient;ve.nɛ.ʁə.ʁɛ
vénérerais;ve.nɛ.ʁə.ʁɛ
vénérerait;ve.nɛ.ʁə.ʁɛ
vénéreras;ve.nɛ.ʁə.ʁa
vénérerez;ve.nɛ.ʁə.ʁe
vénéreriez;ve.nɛ.ʁə.ʁje
vénérerions;ve.nɛ.ʁə.ʁjɔ̃
vénérerons;ve.nɛ.ʁə.ʁɔ̃
vénéreront;ve.nɛ.ʁə.ʁɔ̃
vénérez;ve.ne.ʁe
vénérien;ve.ne.ʁjɛ̃
vénérienne;ve.ne.ʁjɛn
vénériennes;ve.ne.ʁjɛn
vénériens;ve.ne.ʁjɛ̃
vénériez;ve.ne.ʁje
vénérions;ve.ne.ʁjɔ̃
vénérologie;ve.ne.ʁɔ.lɔ.ʒi
vénérologique;ve.ne.ʁɔ.lɔ.ʒik
vénérologiste;ve.ne.ʁɔ.lɔ.ʒist
vénérologue;ve.ne.ʁɔ.lɔɡ
vénérologues;ve.ne.ʁɔ.lɔɡ
vénérons;ve.ne.ʁɔ̃
vénézuélien;ve.ne.zɥe.ljɛ̃
vénézuélienne;ve.ne.zɥe.ljɛn
vénézuéliennes;ve.ne.zɥe.ljɛn
vénézuéliens;ve.ne.zɥe.ljɛ̃
vénal;ve.nal
vénale;ve.nal
vénales;ve.nal
vénalité;ve.na.li.te
vénaux;ve.no
véncer;ve.ʁo.le
véner;ve.nɛʁ
vénerie;vɛn.ʁi
véneries;vɛl
vénia;vɛn.da
véniat;ve.njat
vénielle;ve.njɛl
vénielles;ve.njɛl
véniels;ve.njɛl
vénitien;ve.ni.sjɛ̃
vénitienne;ve.ni.sjɛn
vénitiennes;ve.ni.sjɛn
vénitiens;ve.ni.sjɛ̃
vénizéliste;ve.ni.ze.list
vénizélistes;ve.ni.ze.list
vénus;ve.nys
vénusien;ve.ny.zjɛ̃
vénusienne;ve.ny.zjɛn
vénusiennes;ve.ny.zjɛn
vénusiens;ve.ny.zjɛ̃
vénusté;ve.nys.te
vénustés;vɑ̃.tʁi.lɔk
vénuste;ve.nyst
vépéciste;ve.pe.sist
vépécistes;vɑ̃.tʁi.lɔk
vérécondie;ve.ʁe.kɔ̃.di
vérécondies;vɑ̃.tʁi.lɔk
vérécondieuse;ve.ʁe.kɔ̃.djøz
vérécondieuses;ve.ʁe.kɔ̃.djøz
vérécondieux;ve.ʁe.kɔ̃.djø
vérécundie;ve.ʁe.kɔ̃.di
vérécundies;vɑ̃.tʁi.lɔk
véracité;ve.ʁa.si.te
véracités;vɑ̃.tʁi.lɔk
véraison;ve.ʁɛ.zɔ̃
véranda;ve.ʁɑ̃.da
vérandaliste;ve.ʁɑ̃.da.list
vérandalistes;ve.ʁɑ̃.da.list
vérandas;ve.ʁɑ̃.da
vératre;ve.ʁatʁ
vératres;vɑ̃.tʁi.lɔk
vératrin;ve.ʁa.tʁɛ̃
vératrinate;ve.ʁa.tʁi.nat
vératrine;ve.ʁa.tʁin
vératrinique;ve.ʁa.tʁi.nik
vératriniques;vɑ̃.tʁi.lɔk
vérette;ve.ʁɛt
véreuse;ve.ʁøz
véreuses;ve.ʁøz
véreux;ve.ʁø
vérière;ve.ʁi.si.mi.li.tyd
vérières;vɛʁ.ʒyʁ
véricle;vɛ.ʁikl
véridicité;ve.ʁi.di.si.te
véridiction;ve.ʁi.di.ksiɔ̃
véridique;ve.ʁi.dik
véridiquement;ve.ʁi.dik.mɑ̃
véridiques;vɛʁ.ʒyʁ
vérifiâmes;ve.ʁi.fjam
vérifiât;ve.ʁi.fja
vérifiâtes;ve.ʁi.fjat
vérifièrent;ve.ʁi.fjɛʁ
vérifié;ve.ʁi.fje
vérifiée;ve.ʁi.fje
vérifiées;ve.ʁi.fje
vérifiés;ve.ʁi.fje
vérifia;ve.ʁi.fja
vérifiabilité;ve.ʁi.fja.bi.li.te
vérifiabilités;vɛʁ.ʒyʁ
vérifiable;ve.ʁi.fjabl
vérifiables;ve.ʁi.fjabl
vérifiai;ve.ʁi.fje
vérifiaient;ve.ʁi.fjɛ
vérifiais;ve.ʁi.fjɛ
vérifiait;ve.ʁi.fjɛ
vérifiant;ve.ʁi.fjɑ̃
vérifias;ve.ʁi.fja
vérifiasse;ve.ʁi.fjas
vérifiassent;ve.ʁi.fjas
vérifiasses;ve.ʁi.fjas
vérifiassiez;ve.ʁi.fja.sje
vérifiassions;ve.ʁi.fja.sjɔ̃
vérificateur;ve.ʁy
vérificateurs;ve.ʁi.fi.ka.tœʁ
vérificatif;ve.ʁi.fi.ka.tif
vérification;ve.ʁi.fi.ka.sjɔ̃
vérifications;ve.ʁi.fi.ka.sjɔ̃
vérificatrice;ve.ʁi.fi.ka.tʁis
vérificatrices;ve.ʁi.fi.ka.tʁis
vérifie;ve.ʁi.fi
vérifient;ve.ʁi.fi
vérifier;ve.ʁi.fje
vérifiera;ve.ʁi.fi.ʁa
vérifierai;ve.ʁi.fi.ʁe
vérifieraient;ve.ʁi.fi.ʁɛ
vérifierais;ve.ʁi.fi.ʁɛ
vérifierait;ve.ʁi.fi.ʁɛ
vérifieras;ve.ʁi.fi.ʁa
vérifierez;ve.ʁi.fi.ʁe
vérifieriez;ve.ʁi.fi.ʁje
vérifierions;ve.ʁi.fi.ʁjɔ̃
vérifierons;ve.ʁi.fi.ʁɔ̃
vérifieront;ve.ʁi.fi.ʁɔ̃
vérifies;ve.ʁi.fi
vérifieur;ve.ʁi.fjœʁ
vérifiez;ve.ʁi.fje
vérifiiez;ve.ʁi.fi.je
vérifiions;ve.ʁi.fi.jɔ̃
vérifions;ve.ʁi.fjɔ̃
vérin;ve.ʁɛ̃
vérine;vɛʁ.nal
vérins;ve.ʁɛ̃
vérisimilitude;ve.ʁi.si.mi.li.tyd
vérisimilitudes;vɛʁ.ʒyʁ
vérisme;ve.ʁism
vérismes;ve.ʁist
vérissimes;ve.ʁi.sim
vériste;ve.ʁist
vérité;ve.ʁi.te
vérités;ve.ʁi.te
véritabilisâmes;ve.ʁi.ta.bi.li.zam
véritabilisât;ve.ʁi.ta.bi.li.za
véritabilisâtes;ve.ʁi.ta.bi.li.zat
véritabilisèrent;ve.ʁi.ta.bi.li.zɛʁ
véritabilisé;ve.ʁi.ta.bi.li.ze
véritabilisée;ve.ʁi.ta.bi.li.ze
véritabilisées;ve.ʁi.ta.bi.li.ze
véritabilisés;ve.ʁi.ta.bi.li.ze
véritabilisa;ve.ʁi.ta.bi.li.za
véritabilisai;ve.ʁi.ta.bi.li.ze
véritabilisaient;ve.ʁi.ta.bi.li.zɛ
véritabilisais;ve.ʁi.ta.bi.li.zɛ
véritabilisait;ve.ʁi.ta.bi.li.zɛ
véritabilisant;ve.ʁi.ta.bi.li.zɑ̃
véritabilisas;ve.ʁi.ta.bi.li.za
véritabilisasse;ve.ʁi.ta.bi.li.zas
véritabilisassent;ve.ʁi.ta.bi.li.zas
véritabilisasses;ve.ʁi.ta.bi.li.zas
véritabilisassiez;ve.ʁi.ta.bi.li.za.sje
véritabilisassions;ve.ʁi.ta.bi.li.za.sjɔ̃
véritabilise;ve.ʁi.ta.bi.liz
véritabilisent;ve.ʁi.ta.bi.liz
véritabiliser;ve.ʁi.ta.bi.li.ze
véritabilisera;ve.ʁi.ta.bi.li.zə.ʁa
véritabiliserai;ve.ʁi.ta.bi.li.zə.ʁe
véritabiliseraient;ve.ʁi.ta.bi.li.zə.ʁɛ
véritabiliserais;ve.ʁi.ta.bi.li.zə.ʁɛ
véritabiliserait;ve.ʁi.ta.bi.li.zə.ʁɛ
véritabiliseras;ve.ʁi.ta.bi.li.zə.ʁa
véritabiliserez;ve.ʁi.ta.bi.li.zə.ʁe
véritabiliseriez;ve.ʁi.ta.bi.li.zə.ʁje
véritabiliserions;ve.ʁi.ta.bi.li.zə.ʁjɔ̃
véritabiliserons;ve.ʁi.ta.bi.li.zə.ʁɔ̃
véritabiliseront;ve.ʁi.ta.bi.li.zə.ʁɔ̃
véritabilises;ve.ʁi.ta.bi.liz
véritabilisez;ve.ʁi.ta.bi.li.ze
véritabilisiez;ve.ʁi.ta.bi.li.zje
véritabilisions;ve.ʁi.ta.bi.li.zjɔ̃
véritabilisons;ve.ʁi.ta.bi.li.zɔ̃
véritable;ve.ʁi.tabl
véritables;ve.ʁi.tabl
vérolâmes;ve.ʁɔ.lam
vérolât;ve.ʁɔ.la
vérolâtes;ve.ʁɔ.lat
vérolèrent;ve.ʁɔ.lɛʁ
vérolé;ve.ʁɔ.le
vérolée;ve.ʁɔ.le
vérolées;ve.ʁɔ.le
vérolés;ve.ʁɔ.le
vérola;ve.ʁɔ.la
vérolai;ve.ʁɔ.le
vérolaient;ve.ʁɔ.lɛ
vérolais;ve.ʁɔ.lɛ
vérolait;ve.ʁɔ.lɛ
vérolant;ve.ʁɔ.lɑ̃
vérolas;ve.ʁɔ.la
vérolasse;ve.ʁɔ.las
vérolassent;ve.ʁɔ.las
vérolasses;ve.ʁɔ.las
vérolassiez;ve.ʁɔ.la.sje
vérolassions;ve.ʁɔ.la.sjɔ̃
vérole;ve.ʁɔl
vérolent;ve.ʁɔl
véroler;ve.ʁo.le
vérolera;ve.ʁɔ.lə.ʁa
vérolerai;ve.ʁɔ.lə.ʁe
véroleraient;ve.ʁɔ.lə.ʁɛ
vérolerais;ve.ʁɔ.lə.ʁɛ
vérolerait;ve.ʁɔ.lə.ʁɛ
véroleras;ve.ʁɔ.lə.ʁa
vérolerez;ve.ʁɔ.lə.ʁe
véroleriez;ve.ʁɔ.lə.ʁje
vérolerions;ve.ʁɔ.lə.ʁjɔ̃
vérolerons;ve.ʁɔ.lə.ʁɔ̃
véroleront;ve.ʁɔ.lə.ʁɔ̃
véroles;ve.ʁɔl
vérolette;ve.ʁɔ.lɛt
vérolez;ve.ʁɔ.le
véroliez;ve.ʁɔ.lje
vérolions;ve.ʁɔ.ljɔ̃
vérolique;ve.ʁɔ.lik
vérolons;ve.ʁɔ.lɔ̃
véron;ve.ʁɔ̃
véronaise;ve.ʁɔ.nɛz
véronal;ve.ʁɔ.nal
véronals;ve.ʁɔ.nal
véroniquâmes;ve.ʁɔ.ni.kam
véroniquât;ve.ʁɔ.ni.ka
véroniquâtes;ve.ʁɔ.ni.kat
véroniquèrent;ve.ʁɔ.ni.kɛʁ
véroniqué;ve.ʁɔ.ni.ke
véroniqua;ve.ʁɔ.ni.ka
véroniquai;ve.ʁɔ.ni.ke
véroniquaient;ve.ʁɔ.ni.kɛ
véroniquais;ve.ʁɔ.ni.kɛ
véroniquait;ve.ʁɔ.ni.kɛ
véroniquant;ve.ʁɔ.ni.kɑ̃
véroniquas;ve.ʁɔ.ni.ka
véroniquasse;ve.ʁɔ.ni.kas
véroniquassent;ve.ʁɔ.ni.kas
véroniquasses;ve.ʁɔ.ni.kas
véroniquassiez;ve.ʁɔ.ni.ka.sje
véroniquassions;ve.ʁɔ.ni.ka.sjɔ̃
véronique;ve.ʁɔ.nik
véroniquent;ve.ʁɔ.nik
véroniquer;ve.ʁɔ.ni.ke
véroniquera;ve.ʁɔ.ni.kə.ʁa
véroniquerai;ve.ʁɔ.ni.kə.ʁe
véroniqueraient;ve.ʁɔ.ni.kə.ʁɛ
véroniquerais;ve.ʁɔ.ni.kə.ʁɛ
véroniquerait;ve.ʁɔ.ni.kə.ʁɛ
véroniqueras;ve.ʁɔ.ni.kə.ʁa
véroniquerez;ve.ʁɔ.ni.kə.ʁe
véroniqueriez;ve.ʁɔ.ni.kə.ʁje
véroniquerions;ve.ʁɔ.ni.kə.ʁjɔ̃
véroniquerons;ve.ʁɔ.ni.kə.ʁɔ̃
véroniqueront;ve.ʁɔ.ni.kə.ʁɔ̃
véroniques;ve.ʁɔ.nik
véroniquez;ve.ʁɔ.ni.ke
véroniquiez;ve.ʁɔ.ni.kje
véroniquions;ve.ʁɔ.ni.kjɔ̃
véroniquons;ve.ʁɔ.ni.kɔ̃
vérons;vi.kɛ.ʁi
vérotâmes;ve.ʁɔ.tam
vérotât;ve.ʁɔ.ta
vérotâtes;ve.ʁɔ.tat
vérotèrent;ve.ʁɔ.tɛʁ
véroté;ve.ʁɔ.te
vérota;ve.ʁɔ.ta
vérotai;ve.ʁɔ.te
vérotaient;ve.ʁɔ.tɛ
vérotais;ve.ʁɔ.tɛ
vérotait;ve.ʁɔ.tɛ
vérotant;ve.ʁɔ.tɑ̃
vérotas;ve.ʁɔ.ta
vérotasse;ve.ʁɔ.tas
vérotassent;ve.ʁɔ.tas
vérotasses;ve.ʁɔ.tas
vérotassiez;ve.ʁɔ.ta.sje
vérotassions;ve.ʁɔ.ta.sjɔ̃
vérote;ve.ʁɔt
vérotent;ve.ʁɔt
véroter;ve.ʁɔ.te
vérotera;ve.ʁɔ.tə.ʁa
véroterai;ve.ʁɔ.tə.ʁe
véroteraient;ve.ʁɔ.tə.ʁɛ
véroterais;ve.ʁɔ.tə.ʁɛ
véroterait;ve.ʁɔ.tə.ʁɛ
véroteras;ve.ʁɔ.tə.ʁa
véroterez;ve.ʁɔ.tə.ʁe
véroteriez;ve.ʁɔ.tə.ʁje
véroterions;ve.ʁɔ.tə.ʁjɔ̃
véroterons;ve.ʁɔ.tə.ʁɔ̃
véroteront;ve.ʁɔ.tə.ʁɔ̃
vérotes;ve.ʁɔt
vérotez;ve.ʁɔ.te
vérotier;ve.ʁɔ.tje
vérotiez;ve.ʁɔ.tje
vérotions;ve.ʁɔ.tjɔ̃
vérotis;ve.ʁɔ.ti
vérotons;ve.ʁɔ.tɔ̃
vértebra;vɑ̃.tʁal
vértice;vɛʁ.ti.kal
vérue;ve.ʁy
vérumontanum;ve.zi.ka.sjɔ̃
vés;ve
vésanie;ve.za.ni
vésanies;ve.za.ni
vésanique;ve.za.nik
vésical;vɛ.ʁɔt.ʁi
vésicale;ve.zi.kal
vésicant;ve.zi.kɑ̃
vésicante;ve.zi.kɑ̃t
vésicantes;ve.zi.kɑ̃t
vésicants;ve.zi.kɑ̃
vésication;ve.zi.ka.sjɔ̃
vésications;vi.kɛ.ʁi
vésicatoire;ve.zi.ka.twaʁ
vésicatoires;ve.zi.ka.twaʁ
vésiceux;ve.zi.ka.sjɔ̃
vésiculaire;ve.zi.ky.lɛʁ
vésiculaires;ve.zi.ky.lɛʁ
vésicularités;ve.zi.ky.la.ʁi.te
vésicule;ve.zi.kyl
vésicules;ve.zi.kyl
vésiculeux;ve.zi.ka.sjɔ̃
vésiculisâmes;ve.zi.ky.li.zam
vésiculisât;ve.zi.ky.li.za
vésiculisâtes;ve.zi.ky.li.zat
vésiculisèrent;ve.zi.ky.li.zɛʁ
vésiculisé;ve.zi.ky.li.ze
vésiculisée;ve.zi.ky.li.ze
vésiculisées;ve.zi.ky.li.ze
vésiculisés;ve.zi.ky.li.ze
vésiculisa;ve.zi.ky.li.za
vésiculisai;ve.zi.ky.li.ze
vésiculisaient;ve.zi.ky.li.zɛ
vésiculisais;ve.zi.ky.li.zɛ
vésiculisait;ve.zi.ky.li.zɛ
vésiculisant;ve.zi.ky.li.zɑ̃
vésiculisas;ve.zi.ky.li.za
vésiculisasse;ve.zi.ky.li.zas
vésiculisassent;ve.zi.ky.li.zas
vésiculisasses;ve.zi.ky.li.zas
vésiculisassiez;ve.zi.ky.li.za.sje
vésiculisassions;ve.zi.ky.li.za.sjɔ̃
vésiculise;ve.zi.ky.liz
vésiculisent;ve.zi.ky.liz
vésiculiser;ve.zi.ky.li.ze
vésiculisera;ve.zi.ky.li.zə.ʁa
vésiculiserai;ve.zi.ky.li.zə.ʁe
vésiculiseraient;ve.zi.ky.li.zə.ʁɛ
vésiculiserais;ve.zi.ky.li.zə.ʁɛ
vésiculiserait;ve.zi.ky.li.zə.ʁɛ
vésiculiseras;ve.zi.ky.li.zə.ʁa
vésiculiserez;ve.zi.ky.li.zə.ʁe
vésiculiseriez;ve.zi.ky.li.zə.ʁje
vésiculiserions;ve.zi.ky.li.zə.ʁjɔ̃
vésiculiserons;ve.zi.ky.li.zə.ʁɔ̃
vésiculiseront;ve.zi.ky.li.zə.ʁɔ̃
vésiculises;ve.zi.ky.liz
vésiculisez;ve.zi.ky.li.ze
vésiculisiez;ve.zi.ky.li.zje
vésiculisions;ve.zi.ky.li.zjɔ̃
vésiculisons;ve.zi.ky.li.zɔ̃
vésiculite;ve.si.ky.lit
vésiga;ve.zi.ɡa
vésigons;vi.kɛ.ʁi
vésine;ve.zin
véspera;vɛʁ.ti.kal
vésuvianite;ve.zy.vja.nit
vésuvienne;ve.zy.vjɛn
vésuviennes;ve.zy.vjɛn
vétéciste;ve.te.sist
vétéran;visp.ʁe.zid
vétérance;vjabl
vétérances;vi.ka.ʁja
vétérans;ve.te.ʁɑ̃
vétérinaire;ve.te.ʁi.nɛʁ
vétérotestamentaire;ve.te.ʁɔ.tɛs.ta.mɑ̃.tɛʁ
vétérotestamentaires;ve.te.ʁɔ.tɛs.ta.mɑ̃.tɛʁ
vététiste;ve.te.tist
vétade;ve.tad
vétathlon;ve.tat.lɔ̃
vétathlons;ve.tat.lɔ̃
vétillâmes;ve.ti.jam
vétillât;ve.ti.ja
vétillâtes;ve.ti.jat
vétillèrent;ve.ti.jɛʁ
vétillé;ve.ti.je
vétilla;ve.ti.ja
vétillai;ve.ti.je
vétillaient;ve.ti.jɛ
vétillais;ve.ti.jɛ
vétillait;ve.ti.jɛ
vétillant;ve.ti.jɑ̃
vétillard;ve.ti.jaʁ
vétillards;ve.ti.jaʁ
vétillas;ve.ti.ja
vétillasse;ve.ti.jas
vétillassent;ve.ti.jas
vétillasses;ve.ti.jas
vétillassiez;ve.ti.ja.sje
vétillassions;ve.ti.ja.sjɔ̃
vétille;ve.tij
vétillent;ve.tij
vétiller;ve.ti.je
vétillera;ve.ti.jə.ʁa
vétillerai;ve.ti.jə.ʁe
vétilleraient;ve.ti.jə.ʁɛ
vétillerais;ve.ti.jə.ʁɛ
vétillerait;ve.ti.jə.ʁɛ
vétilleras;ve.ti.jə.ʁa
vétillerez;ve.ti.jə.ʁe
vétilleries;vi.kɛ.ʁi
vétilleriez;ve.ti.jə.ʁje
vétillerions;ve.ti.jə.ʁjɔ̃
vétillerons;ve.ti.jə.ʁɔ̃
vétilleront;ve.ti.jə.ʁɔ̃
vétilles;ve.tij
vétilleur;ve.ti.je
vétilleuse;ve.ti.jøz
vétilleuses;ve.ti.jøz
vétilleux;ve.ti.jø
vétillez;ve.ti.je
vétilliez;ve.ti.je
vétillions;ve.ti.jɔ̃
vétillons;ve.ti.jɔ̃
vétiver;ve.ti.vɛʁ
véto;ve.to
vétusté;ve.tys.te
vétuste;ve.tyst
vétustes;ve.tyst
vétyver;ve.ti.vɛʁ
véu;vɛst
vézt;vɛ̃k.ʁi.je
vêlâmes;ve.lam
vêlât;ve.la
vêlâtes;ve.lat
vêlèrent;ve.lɛʁ
vêlé;ve.le
vêla;ve.la
vêlage;vɛ.laʒ
vêlages;vɛ.laʒ
vêlai;ve.le
vêlaient;ve.lɛ
vêlais;vɛ.lɛ
vêlait;ve.lɛ
vêlant;vɛ.lɑ̃
vêlas;ve.la
vêlasse;ve.las
vêlassent;ve.las
vêlasses;ve.las
vêlassiez;ve.la.sje
vêlassions;ve.la.sjɔ̃
vêle;vɛl
vêlement;vɛ.lə.mɑ̃
vêlements;va.zo.kɔ̃s.tʁik.tœʁ
vêlent;vɛl
vêler;ve.le
vêlera;vɛ.lə.ʁa
vêlerai;vɛ.lə.ʁe
vêleraient;vɛ.lə.ʁɛ
vêlerais;vɛ.lə.ʁɛ
vêlerait;vɛ.lə.ʁɛ
vêleras;vɛ.lə.ʁa
vêlerez;vɛ.lə.ʁe
